time(s),x(m),y(m),theta(rad),theta(deg),vc(m/s),wc(rad/s),xr(m),yr(m),thetar(rad),xe(m),ye(m),thetae(rad)
0.099996,0.400000,-0.100000,-0.019254,-1.10,0.047268,2.373548,0.400000,-0.078000,0.000000,-0.000000,-0.129999,1.590051
0.199996,0.400000,-0.100000,-0.019284,-1.10,0.094903,2.601898,0.400000,-0.056000,0.000000,0.000000,-0.144999,1.590080
0.300096,0.400101,-0.100002,-0.017858,-1.02,0.157309,2.751821,0.400000,-0.034000,0.000000,0.000101,-0.160016,1.588655
0.400077,0.402024,-0.099959,0.065582,3.76,0.220000,2.378898,0.407868,-0.012000,0.000000,-0.027906,-0.190869,1.505215
0.500103,0.406149,-0.099336,0.226089,12.95,0.220000,2.840000,0.408428,0.010000,0.000000,0.006149,-0.189351,1.344707
0.600025,0.413063,-0.097124,0.374813,21.48,0.220000,2.840000,0.405991,0.032000,0.000000,0.013063,-0.202128,1.195983
0.700122,0.421837,-0.093016,0.499275,28.61,0.220000,2.840000,0.403161,0.054000,0.000000,0.021837,-0.213034,1.071521
0.800122,0.430199,-0.087780,0.619253,35.48,0.220000,2.840000,0.401027,0.076000,0.000000,0.030199,-0.222798,0.951543
0.900100,0.435362,-0.083784,0.696771,39.92,0.220000,2.840000,0.399786,0.098000,0.000000,0.035362,-0.233799,0.874025
1.000109,0.442569,-0.076972,0.819639,46.96,0.220000,2.840000,0.399296,0.120000,0.000000,0.042569,-0.241988,0.751157
1.100148,0.449037,-0.069125,0.943816,54.08,0.220000,2.840000,0.399293,0.142000,0.000000,0.049037,-0.249147,0.626980
1.200044,0.454405,-0.060667,1.067130,61.14,0.220000,2.840000,0.399519,0.164000,0.000000,0.054405,-0.255674,0.503667
1.300080,0.458682,-0.051636,1.190307,68.20,0.220000,2.509679,0.399792,0.186000,0.000000,0.058682,-0.261648,0.380489
1.400040,0.461837,-0.042102,1.313045,75.23,0.220000,2.044427,0.399965,0.208000,0.000000,0.061837,-0.267108,0.257751
1.500021,0.463808,-0.032306,1.429657,81.91,0.220000,1.576546,0.400034,0.230000,0.000000,0.063808,-0.272309,0.141139
1.600033,0.464792,-0.021065,1.534711,87.93,0.220000,1.128808,0.400051,0.252000,0.000000,0.064792,-0.276070,0.036086
1.700103,0.464670,-0.007882,1.621414,92.90,0.220000,0.729833,0.400049,0.274000,0.000000,0.064670,-0.277898,-0.050618
