time(s),x(m),y(m),theta(rad),theta(deg),v(m/s),w(rad/s),u0x,u0y
6.200142,0.000000,0.930031,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
6.300049,0.000000,0.945021,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
6.400106,0.000000,0.960007,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
6.500139,0.000000,0.975016,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
6.600049,0.000000,0.990021,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
6.700104,0.000000,1.005007,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
6.800034,0.000000,1.020016,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
6.899999,0.000000,1.035005,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
7.000070,0.000000,1.050000,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
7.100132,0.000000,1.065010,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
7.200091,0.000000,1.080020,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
7.300089,0.000000,1.095014,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
7.400118,0.000000,1.110013,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
7.500055,0.000000,1.125018,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
7.600099,0.000000,1.140008,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
7.700119,0.000000,1.155015,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
7.800043,0.000000,1.170018,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
7.900087,0.000000,1.185006,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
8.000102,0.000000,1.200013,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
8.100037,0.000000,1.215015,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
8.200222,0.000000,1.230006,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
8.300142,0.000000,1.245033,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
8.400044,0.000000,1.260021,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
8.500174,0.000000,1.275007,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
8.600147,0.000000,1.290026,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
8.700026,0.000000,1.305022,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
8.800099,0.000000,1.320004,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
8.900135,0.000000,1.335015,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
9.000051,0.000000,1.350020,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
9.100137,0.000000,1.365008,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
9.200170,0.000000,1.380021,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
9.300020,0.000000,1.395026,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
9.400085,0.000000,1.410003,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
9.500108,0.000000,1.425013,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
9.600035,0.000000,1.440016,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
9.700092,0.000000,1.455005,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
9.800130,0.000000,1.470014,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
9.900042,0.000000,1.485020,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
10.000088,0.000000,1.500006,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
10.100242,0.000000,1.515013,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
10.200017,0.000000,1.530036,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
10.300101,0.000000,1.545003,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
10.400137,0.000000,1.560015,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
10.500043,0.000000,1.575021,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
10.600002,0.000000,1.590006,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
10.700109,0.000000,1.605000,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
10.800063,0.000000,1.620016,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
10.900075,0.000000,1.635009,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
11.000075,0.000000,1.650011,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
11.100035,0.000000,1.665011,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
11.200109,0.000000,1.680005,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
11.300121,0.000000,1.695016,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
11.400056,0.000000,1.710018,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
11.500100,0.000000,1.725008,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
11.600155,0.000000,1.740015,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
11.700031,0.000000,1.755023,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
11.800080,0.000000,1.770005,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
11.900106,0.000000,1.785012,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
12.000030,0.000000,1.800016,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
12.100118,0.000000,1.815004,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
12.200140,0.000000,1.830018,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
12.300055,0.000000,1.845021,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
12.400107,0.000000,1.860008,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
12.500119,0.000000,1.875016,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
12.600047,0.000000,1.890018,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
12.700171,0.000000,1.905007,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
12.800138,0.000000,1.920026,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
12.900053,0.000000,1.935021,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
13.000101,0.000000,1.950008,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
13.100152,0.000000,1.965015,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
13.200050,0.000000,1.980023,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
13.300103,0.000000,1.995007,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
13.400203,0.000000,2.010015,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
13.500054,0.000000,2.025030,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
13.600176,0.000000,2.040008,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
13.700138,0.000000,2.055026,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
13.800102,0.000000,2.070021,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
13.900102,0.000000,2.085015,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
14.000191,0.000000,2.100015,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
14.100015,0.000000,2.115029,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
14.200099,0.000000,2.130002,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
