time(s),x(m),y(m),theta(rad),theta(deg),vc(m/s),wc(rad/s),xr(m),yr(m),thetar(rad),xe(m),ye(m),thetae(rad)
0.099996,-0.400000,-0.200000,0.000727,0.04,0.142702,-0.792219,-0.379919,-0.210788,0.000000,-0.076393,0.005115,1.570069
0.199996,-0.400000,-0.200000,0.000716,0.04,0.220000,-0.930165,-0.357919,-0.222467,0.000000,-0.076393,-0.009885,1.570080
0.300096,-0.398102,-0.200006,-0.007294,-0.42,0.220000,-0.438650,-0.337324,-0.224780,0.000000,-0.074495,-0.024906,1.578090
0.500103,-0.370740,-0.201072,-0.068004,-3.90,0.220000,0.833705,-0.325279,-0.215446,0.000000,-0.047133,-0.055973,1.638800
0.600025,-0.358501,-0.202012,-0.083958,-4.81,0.220000,2.053208,-0.320223,-0.196761,0.000000,-0.034894,-0.071902,1.654754
0.700122,-0.339445,-0.203749,-0.091049,-5.22,0.220000,2.665008,-0.319403,-0.174761,0.000000,-0.015838,-0.088653,1.661846
0.900100,-0.309558,-0.205178,0.044905,2.57,0.159169,2.782907,-0.320449,-0.152761,0.000000,0.014048,-0.120079,1.525892
1.000109,-0.298514,-0.204021,0.167822,9.62,0.168197,2.706476,-0.321870,-0.130761,0.000000,0.025093,-0.133923,1.402974
1.100148,-0.288853,-0.201789,0.297715,17.06,0.220000,2.592363,-0.322963,-0.108761,0.000000,0.034754,-0.146697,1.273082
1.200044,-0.280606,-0.198574,0.447708,25.65,0.220000,2.560293,-0.323615,-0.086761,0.000000,0.043001,-0.158466,1.123089
1.400040,-0.264620,-0.187883,0.712562,40.83,0.220000,2.559266,-0.323887,-0.064761,0.000000,0.058987,-0.177775,0.858235
1.600033,-0.250737,-0.172289,0.970577,55.61,0.220000,2.502532,-0.323908,-0.042761,0.000000,0.072869,-0.192179,0.600219
1.700103,-0.245123,-0.162826,1.100253,63.04,0.220000,2.433891,-0.323808,-0.020761,0.000000,0.078484,-0.197727,0.470544
1.800046,-0.237632,-0.142124,1.346904,77.17,0.220000,2.113071,-0.323679,0.001239,0.000000,0.085974,-0.192017,0.223893
