time(s),x(m),y(m),theta(rad),theta(deg),vc(m/s),wc(rad/s),xr(m),yr(m),thetar(rad),xe(m),ye(m),thetae(rad)
0.000000,-0.400000,0.300000,0.011654,0.67,0.157707,-1.275357,-0.379919,0.280065,0.000000,-0.076393,0.049886,1.559142
0.099996,-0.400000,0.300000,0.011690,0.67,0.220000,-1.256103,-0.357919,0.264218,0.000000,-0.076393,0.034887,1.559106
0.199996,-0.398330,0.300013,0.004760,0.27,0.220000,-0.772864,-0.337324,0.259611,0.000000,-0.074723,0.019900,1.566037
0.300096,-0.388408,0.300047,0.000433,0.02,0.220000,0.332454,-0.325279,0.266568,0.000000,-0.064801,0.004918,1.570363
0.400077,-0.373324,0.299882,-0.025143,-1.44,0.220000,1.606380,-0.320223,0.282048,0.000000,-0.049717,-0.010244,1.595940
0.500103,-0.361130,0.299497,-0.036052,-2.07,0.220000,2.323756,-0.319403,0.302199,0.000000,-0.037524,-0.025632,1.606848
0.600025,-0.342714,0.298887,-0.022849,-1.31,0.220000,2.722379,-0.320449,0.323810,0.000000,-0.019108,-0.041230,1.593645
0.700122,-0.327455,0.298967,0.043071,2.47,0.204334,2.840000,-0.321870,0.344367,0.000000,-0.003848,-0.056166,1.527725
0.800122,-0.315442,0.300117,0.155137,8.89,0.206312,2.827377,-0.322963,0.363162,0.000000,0.008165,-0.070015,1.415659
0.900100,-0.305161,0.302361,0.276518,15.84,0.220000,2.712068,-0.323615,0.380556,0.000000,0.018446,-0.082768,1.294278
1.000109,-0.295593,0.305729,0.400950,22.97,0.220000,2.600673,-0.323887,0.397017,0.000000,0.028014,-0.094401,1.169846
1.100148,-0.286476,0.310291,0.526217,30.15,0.220000,2.526286,-0.323908,0.412931,0.000000,0.037131,-0.104846,1.044579
1.200044,-0.277998,0.315953,0.651564,37.33,0.220000,2.493728,-0.323808,0.428551,0.000000,0.045608,-0.114168,0.919232
1.300080,-0.270118,0.322773,0.775519,44.43,0.220000,2.483556,-0.323679,0.444010,0.000000,0.053489,-0.122353,0.795277
1.400040,-0.262933,0.330737,0.896759,51.38,0.220000,2.467993,-0.323593,0.459370,0.000000,0.060673,-0.129383,0.674037
1.500021,-0.256622,0.339690,1.016070,58.22,0.220000,2.415957,-0.323560,0.474650,0.000000,0.066985,-0.135427,0.554726
1.600033,-0.253049,0.345984,1.093596,62.66,0.220000,2.356631,-0.323554,0.489857,0.000000,0.070557,-0.144135,0.477200
1.700103,-0.248556,0.356058,1.207761,69.20,0.220000,2.216367,-0.323558,0.504996,0.000000,0.075051,-0.149072,0.363035
