time(s),x(m),y(m),theta(rad),theta(deg),vc(m/s),wc(rad/s),xr(m),yr(m),thetar(rad),xe(m),ye(m),thetae(rad)
0.099996,0.200000,-0.300000,-0.039699,-2.27,-0.068531,-2.840000,0.178000,-0.322000,0.000000,0.076393,0.050423,1.610495
0.199996,0.200000,-0.300000,-0.039630,-2.27,-0.131019,-2.840000,0.156000,-0.344000,0.000000,0.076393,0.035423,1.610426
0.300096,0.199469,-0.299976,-0.053774,-3.08,-0.180991,-2.840000,0.134000,-0.361164,0.000000,0.075862,0.020432,1.624570
0.400077,0.196933,-0.299668,-0.185438,-10.62,-0.220000,-1.400452,0.123287,-0.341049,0.000000,0.064395,-0.067923,1.756234
0.500103,0.190950,-0.297966,-0.349963,-20.05,-0.220000,0.492863,0.118494,-0.321534,0.000000,0.067343,-0.007559,1.920759
0.600025,0.181254,-0.293562,-0.482498,-27.65,-0.220000,-0.303132,0.130404,-0.318998,0.000000,0.009672,0.037563,2.053294
0.700122,0.172865,-0.288859,-0.531887,-30.47,-0.220000,2.072789,0.132634,-0.301800,0.000000,0.049259,-0.028454,2.102683
0.800122,0.157644,-0.279548,-0.559702,-32.07,-0.220000,2.840000,0.130521,-0.279800,0.000000,0.034037,-0.034143,2.130498
0.900100,0.142329,-0.269954,-0.547730,-31.38,-0.175228,2.840000,0.127449,-0.257800,0.000000,0.018722,-0.039546,2.118526
1.000109,0.130447,-0.263257,-0.466016,-26.70,-0.090053,2.840000,0.125086,-0.235800,0.000000,0.006840,-0.047851,2.036813
1.100148,0.120682,-0.259071,-0.336100,-19.26,0.011277,2.840000,0.123672,-0.213800,0.000000,-0.002925,-0.058671,1.906896
1.200044,0.115032,-0.257389,-0.235554,-13.50,0.113462,2.840000,0.123077,-0.191800,0.000000,-0.008575,-0.071973,1.806350
1.300080,0.109032,-0.256520,0.026831,1.54,0.220000,2.840000,0.123021,-0.169800,0.000000,-0.014575,-0.086110,1.543966
1.400040,0.109105,-0.256488,0.182689,10.47,0.220000,2.840000,0.123229,-0.147800,0.000000,-0.014502,-0.101071,1.388107
1.500021,0.113635,-0.255057,0.387903,22.23,0.220000,2.809251,0.130696,-0.126383,0.000000,-0.037346,-0.126605,1.182893
1.600033,0.121697,-0.250990,0.533833,30.59,0.220000,2.840000,0.131295,-0.110466,0.000000,-0.001910,-0.125572,1.036964
1.700103,0.130434,-0.244992,0.668373,38.29,0.220000,2.840000,0.129075,-0.096527,0.000000,0.006827,-0.134585,0.902424
1.800046,0.138110,-0.238132,0.795381,45.57,0.220000,2.840000,0.126509,-0.083114,0.000000,0.014503,-0.142716,0.775415
1.900120,0.144980,-0.230161,0.923670,52.92,0.220000,2.779821,0.124583,-0.069067,0.000000,0.021374,-0.149757,0.647126
2.000083,0.150964,-0.221048,1.056156,60.51,0.220000,2.412050,0.123465,-0.054195,0.000000,0.027357,-0.155638,0.514641
2.100067,0.155548,-0.211632,1.182308,67.74,0.220000,2.035980,0.123025,-0.038663,0.000000,0.031942,-0.161220,0.388488
2.200106,0.158885,-0.201812,1.305495,74.80,0.220000,1.652798,0.123021,-0.022766,0.000000,0.035278,-0.166406,0.265301
2.300113,0.161314,-0.190018,1.422295,81.49,0.220000,1.271186,0.123221,-0.006777,0.000000,0.037708,-0.169613,0.148501
2.400038,0.162578,-0.176440,1.525488,87.40,0.220000,0.909834,0.123462,0.009048,0.000000,0.038971,-0.171023,0.045308
2.500094,0.162582,-0.161384,1.609087,92.19,0.220000,0.592260,0.123612,0.024684,0.000000,0.038975,-0.170975,-0.038290
2.600135,0.161468,-0.145022,1.663622,95.32,0.220000,0.342073,0.123669,0.039632,0.000000,0.037861,-0.169620,-0.092826
2.700065,0.159346,-0.127077,1.710352,98.00,0.220000,0.130121,0.123680,0.054530,0.000000,0.035739,-0.166664,-0.139556
2.800098,0.156420,-0.108219,1.737965,99.58,0.220000,-0.033850,0.123675,0.069585,0.000000,0.032813,-0.162811,-0.167169
2.900095,0.152974,-0.088754,1.753210,100.45,0.220000,-0.156119,0.123666,0.084803,0.000000,0.029367,-0.158346,-0.182414
3.000229,0.149088,-0.068160,1.759232,100.80,0.220000,-0.243366,0.123658,0.099611,0.000000,0.025481,-0.152772,-0.188436
3.100128,0.145331,-0.048443,1.757704,100.71,0.220000,-0.301780,0.123651,0.114509,0.000000,0.021724,-0.148040,-0.186908
3.200149,0.142863,-0.035283,1.753881,100.49,0.220000,-0.339726,0.123645,0.129617,0.000000,0.019256,-0.149883,-0.183085
3.300048,0.138134,-0.008926,1.741881,99.80,0.220000,-0.360427,0.123639,0.144898,0.000000,0.014527,-0.138510,-0.171084
3.400061,0.135952,0.004002,1.733901,99.35,0.220000,-0.372162,0.123635,0.160271,0.000000,0.012346,-0.140584,-0.163104
3.500108,0.132902,0.023456,1.719846,98.54,0.220000,-0.367391,0.123632,0.175123,0.000000,0.009295,-0.136137,-0.149050
3.600028,0.130082,0.043201,1.705642,97.73,0.220000,-0.356087,0.123629,0.190001,0.000000,0.006475,-0.131381,-0.134846
3.700084,0.127595,0.062632,1.690737,96.87,0.220000,-0.339840,0.123626,0.205045,0.000000,0.003988,-0.126958,-0.119941
3.800150,0.125424,0.082000,1.674153,95.92,0.220000,-0.316459,0.123624,0.220244,0.000000,0.001817,-0.122600,-0.103357
3.900056,0.123604,0.101048,1.657794,94.98,0.220000,-0.290187,0.123622,0.235538,0.000000,-0.000003,-0.118538,-0.086998
4.000101,0.121985,0.121206,1.644272,94.21,0.220000,-0.265362,0.123620,0.250853,0.000000,-0.001621,-0.113386,-0.073476
4.100201,0.120622,0.141434,1.631636,93.49,0.220000,-0.240970,0.123618,0.265583,0.000000,-0.002985,-0.108173,-0.060840
4.200075,0.119890,0.154550,1.621959,92.93,0.220000,-0.219282,0.123617,0.280333,0.000000,-0.003717,-0.110039,-0.051163
4.300098,0.118997,0.175159,1.607497,92.10,0.220000,-0.191526,0.123615,0.295267,0.000000,-0.004610,-0.104434,-0.036701
4.400126,0.118191,0.202685,1.592774,91.26,0.220000,-0.159723,0.123614,0.310378,0.000000,-0.005416,-0.091912,-0.021978
4.500041,0.117864,0.223462,1.580527,90.56,0.220000,-0.127925,0.123613,0.325602,0.000000,-0.005743,-0.086122,-0.009731
4.600101,0.117730,0.244545,1.574864,90.23,0.220000,-0.104329,0.123613,0.340863,0.000000,-0.005877,-0.080047,-0.004068
4.700139,0.117672,0.265224,1.573164,90.14,0.220000,-0.090688,0.123612,0.356072,0.000000,-0.005935,-0.074374,-0.002368
4.800046,0.117663,0.285700,1.568866,89.89,0.220000,-0.077726,0.123611,0.370654,0.000000,-0.005943,-0.068884,0.001930
4.900090,0.117721,0.299849,1.564590,89.64,0.220000,-0.064506,0.123611,0.385273,0.000000,-0.005886,-0.069742,0.006206
5.000122,0.117871,0.321438,1.562883,89.55,0.220000,-0.055825,0.123610,0.399626,0.000000,-0.005736,-0.063157,0.007913
5.100026,0.118052,0.342471,1.561204,89.45,0.220000,-0.048035,0.123610,0.414246,0.000000,-0.005555,-0.057111,0.009592
5.200107,0.118310,0.364034,1.556751,89.20,0.220000,-0.034535,0.123609,0.429237,0.000000,-0.005296,-0.050560,0.014045
